url,pr,tic,title,region,cats,description
http://vk.com/app1895207,-1,0,"""Лабиринт Колобок"" - детская игра",,"Развлечения, Игры, Игровая, Социальные игры, ВКонтакте, Аркады","Лабиринт по сказке: пройди лабиринт и слушай фрагменты сказки."
http://www.kn.kz/,4,1500,"""Kn.kz"" - недвижимость Казахстана",Казахстан,"Бизнес, Недвижимость","База объектов (новостройки, дома, коттеджи, коммерческая недвижимость, земельные участки) в Астане, Алматы и Караганде. Возможность разместить информацию бесплатно. Ипотечные программы, риелторы и др."
http://www.litras.ru/,4,60,"""Академкнига"" - торговая фирма РАН",Россия,"Культура, Литература","Книги издательства ""Наука"" и др., букинистическая литература, канцтовары, пр. Комплектование библиотек. Прайс-лист. Новинки. Форма заказа. Адреса центральных и региональных магазинов."
http://www.rusarsenal.ru/,1,700,"""Русарсенал"" - противопожарное оборудование",Россия,"Бизнес, Производство и поставки, Оборудование, Охранное оборудование","Иллюстрированный каталог продукции: огнетушители, пожарные рукава, стволы, щиты, шкафы, водопенное оборудование, средства индивидуальной защиты и др. Оформление заказа онлайн. Информация о компании."
http://sovershenstvo-vrn.ru/,2,0,"""Совершенство"" - студия танца",Воронеж,"Культура, Танец, Восточные танцы","Каталог стилей, фотогалерея (восточные танцы, стрип-данс, модерн, пр.). Расписание занятий. Контакты."
http://sobory.ru/,5,1600,"""Народный каталог православной архитектуры""",,"Культура, Изобразительные искусства, Архитектура","Фотографии церквей, храмов и монастырей России. Комментарии. Словарь специальных терминов."
http://www.altgerm.ru/,0,50,"""Алтай-герметик"" - гидроизоляция и герметики","Алтайский край","Бизнес, Строительство, Стройматериалы, Напольные покрытия, паркет","Герметики, средства для гидроизоляции бетона, полов, бассейнов, очистки фасадов, огнезащиты, наливные полы, пр. Каталог продукции. Технологии. Контакты."
http://foto.pavlovskyposad.ru/,2,40,"""Павловский Посад в фотографиях""","Москва и область","Культура, Фотография, Фото стран и городов","Коллекция современных и старинных фотографий Павловского Посада."
http://www.igroboom.ru/,1,110,"""Ресурс-н"" - игровое оборудование для детей",Россия,"Бизнес, Производство и поставки, Прочее","Производство лабиринтов, надувных батутов, игровых и спортивных площадок, развивающих игрушек и др. Каталог продукции."
http://belagriplants.ru/,3,0,"""БелАгриПлантс"" - рассада земляники садовой",Беларусь,"Бизнес, Производство и поставки, Агропром, Сельское хозяйство","Выращивание и реализация рассады Фриго сортов: ""Вима Занта"", ""Вима Рина"", ""Викорда"" и пр.; малины ""Херитидж"". Каталог продукции. Презентационный видеоролик. Фотогалерея. Контакты."
http://www.pallor.ru/,1,160,"""Паллор"" - светильники и аварийное освещение",Москва,"Бизнес, Производство и поставки, Электроника и электротехника, Электротехника, Электростанции, генераторы, ИБП","Оптовая продажа светильников ""Нордклифф"", ""Технолюкс"", ""Световые технологии"", ""Thorn Lighting"". Каталог продукции. Прайс-лист. Тематические статьи. О компании."
http://capoeira-rostov.ru/,1,0,"""Капоэйра Ростов"" - группа капоэйры",Ростов-на-Дону,"Спорт, Единоборства","Организация тренировок по капоэйре. Афиша мероприятий и выступлений. Расписания занятий. Новости группы. Фотогалерея. Контакты."
http://www.statim.ru/,2,80,"""Статим"" - сеть аптек",Москва,"Дом, Здоровье, Интернет-аптеки","Продажа лекарственных средств, лечебной косметики, БАДов, медицинской техники и пр. Каталог продукции с описанием и ценами. Поиск по алфавиту и названию препарата. Онлайн-заказ. Адреса аптек."
http://www.kamengorod.ru/,1,500,"""Каменный город"" - поставки кровельных материалов",Красногорск,"Бизнес, Строительство, Стройматериалы, Кровля","Продажа металлочерепицы, металлического и винилового сайдинга, водосточных систем, мансардных и пластиковых окон. Прайс-лист. Контакты."
http://www.olma.ru/,4,400,"""Олма"" - инвестиционная фирма",Москва,"Бизнес, Финансы, Брокеры и управление активами","Аналитическое обслуживание, страхование, фин. консалтиг. Аналитические материалы: анализ рынка корпоративных ценных бумаг, макроэкономический обзор, новости эмитентов. +7 (495) 960-31-29"
http://www.usp-pech.orthodoxy.ru/,2,100,"""Храм Успения Пресвятой Богородицы в Печатниках""",Москва,"Общество, Религия, Христианство, Храмы и монастыри","История основания храма. Расписание богослужений. О работе воскресной школы. Заметки к православному календарю. Схема проезда."
http://4x4max.ru/,0,20,"""4x4max"" - магазин товаров для внедорожников и ATV",Россия,"Авто, Запчасти, аксессуары, Интернет-магазины, Шины и диски","Интернет-продажа комплектов подвески, бамперов, оптики, лебедок, шин и т.д. Цены. Подбор запчастей по марке внедорожника или ATV, а также по типу товаров. Правила оформления заказа, доставки и оплаты."
http://www.Jungheinrich.ru/,3,900,"""Jungheinrich"" - складское оборудование",Россия,"Бизнес, Производство и поставки, Оборудование, Складское оборудование","Продажа, аренда и сервисное обслуживание погрузчиков, штабелеров, подъемных тележек и др. Каталог оборудования. Адреса филиалов и региональных представительств."
http://www.manotom-tmz.ru/,4,550,"""Манотомь"" - манометровый завод",Томск,"Бизнес, Производство и поставки, Электроника и электротехника, Измерительные приборы","Каталог продукции: технические, аммиачные, дифференциальные, цифровые манометры и др. Прайс-лист. Технические характеристики. Справочная информация. Ответы на часто задаваемые вопросы. Контакты."
http://www.moscowband.ru/,1,60,"""Moscow Jazz Band"" - ансамбль п/р В.Лебедева",,"Культура, Музыка, Джаз и блюз","История ансамбля, информация о музыкантах, репертуар, музыка в формате mp3, отзывы прессы, фотографии."
http://www.illeon.ru/,2,190,"""Иллеон-Строй"" - строительное оборудование","Москва и область","Дом, Квартира и дача, Дача и участок","Продажа электроинструмента, бензопил, отделочных материалов, садовой техники и пр. Цены. Заказ онлайн. Контакты."
http://www.incafe.ru/,1,20,"""Коннект"" - сеть интернет-центров",Москва,"Hi-Tech, Интернет, Интернет-кафе","Перечень услуг (доступ в интернет, компьютерные игры и др.) для пассажиров международного аэропорта ""Домодедово"". Меню интернет-кафе. Руководство по получению доступа в интернет. Контакты."
http://www.watchimperia.ru/,2,70,"""Watchimperia.ru"" - копии швейцарских часов оптом",Россия,"Бизнес, Производство и поставки, Предметы потребления, Ювелирная и часовая промышленность","Продажа копий часов марок Breitling, Calvin Klein, Franck Muller, Chanel, Gucci и др. Информация о наличии товаров. Прайс-лист. Условия работы с интернет-магазинами и др. оптовыми покупателями."
http://www.microstock.ru/,4,400,"""Microstock.ru"" - о фотобанках и микростоках",,"Культура, Фотография","Подборка статей и обзоров по работе с фотобанками, их сравнение, новости, форум, faq. Сервис по автоматическому подбору ключевых слов для фотографий."
http://www.16bit.fm/,4,130,"""16bit.fm"" - интернет-радио",,"Культура, Музыка, Интернет-радио","Музыка, молодежная и культурная жизнь (интервью, новости). Расписание эфира. Архив. Форум."
http://museum.pskov.ru/,4,240,"""Псковский историко-архитектурный музей""",Псков,"Культура, Музеи, Историко-архитектурные музеи","История музея. Фондовые коллекции музея. Описание музейных объектов. Экскурсии и цены. Архив выставок. Информация о филиалах. +7 (8112) 66-25-17"
http://las-mamas.ru/,2,10,"""Лас-мамас"" - цветной детский клуб",Москва,"Учёба, Среднее образование, Раннее развитие, Центры развития","Развивающие программы для детей от года; занятия по танцам, рисованию; подготовка к школе и пр. Проведение занятий и детских праздников в разноцветных классах. Цены. Сведения о педагогах. Фотогалерея."
http://www.medzhencentre.ru/,3,800,"""Медицинский женский центр""",Москва,"Дом, Семья","Описание услуг центра и цены на них (ДНК-анализ, косметология, консультации врачей и пр.). Сведения о работе школы материнства при центре. Сборник статей и советов для будущих мам. Информация о фирме."
http://www.sibdacha.ru/,0,20,"""Сибдача"" - корпоративный сайт магазина",Россия,"Дом, Квартира и дача, Дача и участок","Товары для садоводов-любителей, огородников, цветоводов: прайс-листы, адреса розничных магазинов, схема проезда."
http://www.komsm.com/,0,60,"""КомплексСтройМонтаж"" - автоматические ворота","Тульская область","Бизнес, Строительство, Стройматериалы, Двери","Производство, продажа и установка автоматических ворот и дверей, а также кованых изделий, заборов и пр. Онлайн-заказ."
http://www.arttrek.ru/,1,80,"""Арттрек+"" - рекламное агентство",Тамбов,"Бизнес, Реклама, Рекламные услуги, Наружная реклама","Производство наружной рекламы: перетяжки, брандмауэры, светодиодный экран, широкоформатная печать и пр. Портфолио. Расценки. Контактные данные компании."
http://www.yazdes.com.ua/,2,20,"""Я-Здесь"" - поиск старых друзей и знакомых в СНГ",СНГ,"Справки, Поиск людей",
http://www.umsa.edu.ua/,5,500,"Украинская медицинская стоматологическая академия",Украина,"Учёба, Высшее образование","Описание факультетов и кафедр, научные подразделения УМСА. Информация для абитуриентов. Контакты."
http://xn--80akogvo3h.xn--p1ai/,0,0,"""Ёмаркет.рф"" - фильтры для воды и светотехника",Россия,"Дом, Покупки, Мебель и интерьер, Светильники","Онлайн-продажа фильтров марок ""Аквафор"" и ""Барьер"", картриджей, светодиодных ламп и прожекторов, настольных светильников. Условия оплаты и доставки."
http://belarchive.ru/,3,20,"Государственный архив Белгородской области","Белгородская область","Учёба, Науки, Гуманитарные науки, История, Новая и новейшая история","Структура учреждения. Нормативные документы. Путеводитель по фондам. Услуги по исполнению запросов. Информация о работе в читальном зале. Электронная библиотека. Контакты."
http://www.antarctida.kiev.ua/,4,30,"Украинская антарктическая станция",,"Учёба, Науки, Естественные науки, Науки о Земле","История исследований Антарктиды, видеоархив, фотографии, записки полярников."
http://www.sibgigant.ru/,2,100,"""Сибирский гигант"" - торговый холдинг",Новосибирск,"Бизнес, Производство и поставки, Предметы потребления, Универсальное","Оптовая и розничная продажа потребительских продуктов через сеть супермаркетов, гипермаркетов и торговых центров. О компании: общие сведения, структура, магазины и пр. Предложения для поставщиков. +7 (383) 255-55-53"
http://polusharie.com/,4,325,"""Восточное полушарие"" - форумы",,Универсальное,"Общение связанное с Китаем, Японией и Кореей: культура, бизнес, язык, туризм и проч. Форумы собрали востоковедов, людей живущих и работающих в Китае, Японии и Кореи."
http://www.tv-agent.net/test,3,10,"Сборник психологических тестов",,"Развлечения, Психологические тесты","Психологические тесты по разным темам (нравитесь ли вы мужчинам, оптимист ли вы, оценка самоконтроля, стиль общения, чувство юмора и др)."
http://www.med-registratura.ru/,3,140,"""Веб-регистратура для медучреждений Красноярска""","Красноярский край","Дом, Здоровье, Лечебные учреждения общего профиля","Онлайн-запись на прием к врачам в медицинские учреждения, включенные в систему удаленной работы с пациентами Красноярского края. Расписания приема врачей."
http://polinar-clinic.com/,-1,275,"""Полинар"" - наркологический центр",Германия,"Дом, Здоровье, Специализированная медпомощь, Наркология","Консультации, лечение и реабилитации алкогольной, наркотической и химической зависимости; описание программ психотерапии и озонотерапии. Возможность задать вопрос специалисту онлайн. Контакты."
http://www.klubok.info/,1,90,"""Тигрица и клуб ОК"" - сайт рукодельницы",,"Отдых, Хобби, Рукоделие","Галерея работ, образцы, схемы, советы и инструкции. Книга отзывов."
http://russtriptease.ru/,3,275,"""Zажигалка"" - сеть стриптиз-баров",Россия,"Отдых, Где развлечься, Клубы и дискотеки","Меню бара. Фотографии. Цены на выступления. Адреса клубов в городах России и Украины."
http://www.anixtd.ru/,2,30,"""Аникс"" - продукты питания и предметы потребления",Бийск,"Бизнес, Производство и поставки, Агропром, Универсальное","Оптовые поставки и розничная продажа продуктов питания, поставки, монтаж и сервисное обслуживание торгового и холодильного оборудования и др. Прайс-листы. Сведения о сети розничных магазинов на Алтае."
http://www.brandprint.ru/,3,230,"""Presto Печати"" - изготовление печатей и штампов",Москва,"Бизнес, Все для офиса, Прочее","Изготовление печатей различных размеров и степени сложности, пломбираторов, датеров и т.д. Образцы продукции. Стоимость работ, оснастки. Проверка готовности заказа онлайн. Контакты. +7 (495) 602-65-09"
http://www.eu-systems.ru/,1,100,"""Евросистемы"" - отопление и водоснабжение",Россия,"Бизнес, Строительство, Инженерные системы, Насосы","Продажа котельного и насосного оборудования, водонагревателей, горелочных устройств, аксессуаров, пр. Каталог оборудования. Цены. Контакты."
http://www.Kidster.ru/,2,550,"""Kidster.ru"" - интернет-магазин для мам и детей",Россия,"Дом, Семья","Продажа рюкзаков-переносок для детей, слингов, одежды для беременных и кормящих мам, детских игровых ковриков и др. Условия оплаты и доставки. Адреса розничных магазинов."
http://basketkhv.ru/,1,0,"""Федерация Баскетбола города Хабаровска""",Хабаровск,"Спорт, Баскетбол","Календарь игр текущего сезона. Обзоры матчей. Составы городских команд. Статистика игроков. Новости баскетбола в Хабаровске. Контакты."
http://www.pavlovskayasloboda.ru/,3,250,"""Храм Благовещения Пресвятой Богородицы""","Москва и область","Общество, Религия, Христианство, Храмы и монастыри","Святыни, престолы, история храма. Сведения о работе воскресной школы, отчеты о паломнических поездках. Календарь богослужений. Контакты."
http://www.ecoseptik.ru/,2,400,"""Паллада"" - системы автономной канализации",Москва,"Бизнес, Строительство, Инженерные системы, Водоснабжение и канализация","Продажа и монтаж станций биологической очистки и септиков загородных домов, продажа бактериальных препаратов и др. Каталог оборудования, цены. Документация."
http://max-frei.net/,3,180,"""Макс Фрай: Никогда не знаешь, где тебе повезет""",,"Культура, Литература, Русская проза","Библиография: серии ""Лабиринты Ехо"" и ""Хроники Ехо"", сборники и др. Краткие анкеты персонажей, рисунки по мотивам произведений М.Фрая. Интервью с С. Мартынчик, статьи, видео- и аудиозаписи."
http://www.babiy-bunt.ru/,0,10,"""Бабий бунт"" - женская поэзия",,"Культура, Литература, Русская поэзия","Стихотворения русских поэтесс XIX-XX веков."
http://marki-shop.ru/,1,0,"""Марки шоп"" - интернет-магазин брендовых товаров",Россия,"Дом, Покупки, Одежда, обувь, аксессуары, Галантерея","Продажа женской и детской одежды из Китая, аксессуаров, сумок. Условия доставки и оплаты."
http://www.coffeebusiness.ru/,2,20,"""Эспрессо итальяно ru"" - оборудование для баров",Россия,"Бизнес, Производство и поставки, Агропром, Безалкогольные напитки","Поставки кофе и чая, профессиональных кофемашин, кофемолок, продуктов и оборудования для предприятий общественного питания. Иллюстрированный каталог. Онлайн-заказ. Ремонт и обслуживание кофемашин."
http://centrkidunilib.ucoz.ru/,3,40,"Детско-юношеская библиотека г.Кандалакша","Мурманская область","Дом, Семья, Интернет детям","Структура ЦБС. Перечень услуг. Правила пользования. Виртуальная справочная служба. Режим работы, адреса библиотек."
http://www.ruz.ru/,0,40,"""Эксперт Консалт""",Москва,"Бизнес, Финансы, Аудит, бухучет","Юридические и бухгалтерские услуги, аудит, регистрация предприятий, консалтинг и др."
http://unitcopier.ru/,3,140,"""Юнит Копир"" - продажа копировальной техники",Россия,"Бизнес, Все для офиса, Оргтехника, Копировальная и оргтехника","Информация о компании. Каталог продукции: копировальные аппараты, бумага, копировальные рамы. Технические характеристики. Описание программного обеспечения для автоматизации документооборота. +7 (495) 730-55-37"
http://www.sidor.ru/,3,190,"Сидор Синебрюхофф",,"Развлечения, Юмор, Прочее","Жизнь замечательных свиней в картинках, свиномузыка. Статьи о свинах. Статьи про обладателей прикольных фамилий. Коллекция прикольных программ."
http://ces-spb.ru/,0,70,"""Центр экологического сопровождения""","Санкт-Петербург и Ленинградская область","Бизнес, Деловые услуги, Прочее","Разработка и согласование проектов в сфере природопользования и охраны окружающей среды. Общие условия и сроки подготовки документов."
http://www.4wd.ru/,2,450,"""4WD.Ru"" - оборудование для внедорожников",Россия,"Авто, Запчасти, аксессуары","Предложение услуг по продаже навесного оборудования и аксессуаров для джипов и полноприводных автомобилей. Информация по ценам. Фотогалерея, тематические статьи. Контакты."
http://www.decorps.by/,2,0,"""Декорпрофстрой"" - заборы и тротуарная плитка","Минская область","Дом, Квартира и дача, Стройматериалы, Плитка, облицовка","Производство и реализация декоративных железобетонных заборов и тротуарной плитки; услуги по установке, покраске заборов, укладке плитки. Каталог продукции с указанием размеров изделий. Прайс-лист."
http://www.ace.cv.ua/,2,80,"""Ace"" - теннисный клуб",Черновцы,"Спорт, Спортклубы","Организация игр и соревнований по теннису, обучение игре. Расписание занятий. Календарь спортивных событий. Цены. Рейтинги игроков. Новости клуба. Фотогалерея. Контакты."
http://www.csproduction.net/,0,90,"""Crystal sound production"" - студия звукозаписи",Киев,"Культура, Музыка","Написание и производство музыки к рекламным роликам, фильмам, компьютерным играм; создание аранжировок и ремиксов. Цены. Новости студии. Контакты."
http://vk.com/angry.berds,3,0,"""Злые птицы (Angry Birds)"" - боевая аркада",,"Развлечения, Игры, Игровая, Социальные игры, ВКонтакте","Знакомые всем злые птицы теперь в качестве аркадной игры. Играй с друзьями! Воюй против злых птиц. Можешь также завести себе злобного питомца."
http://www.barrakuda.biz/,2,10,"""Барракуда"" - изготовление и продажа шевронов",Москва,"Бизнес, Производство и поставки, Предметы потребления, Швейная промышленность","Фотографии изделий, прайс-лист, контакты."
http://NewDivan.ru/,2,20,"""КомфортСервис"" - ремонт мебели","Москва и область","Дом, Покупки, Мебель и интерьер, Мягкая мебель","Перетяжка мягкой мебели, ее ремонт и реставрация, изготовление на заказ и др. Цены. Примеры выполненных работ. Отзывы клиентов."
http://www.o-t-k.ru/,2,50,"""ОТК"" - оптовая продажа телефонов и аудиотехники",Новосибирск,"Дом, Покупки, Бытовая техника, Оптовый рынок бытовой техники","Телефоны, АОНы, факсы, калькуляторы, магнитолы, плееры, диктофоны и пр. Ассортимент товаров. Прайс-листы. Информация о наличии на складе. Контакты. Реквизиты."
http://www.novzar.ru/,2,150,"""Новая Заря"" - парфюмерная фабрика",Россия,"Дом, Мода и красота","Описание коллекци духов, одеколонов, шампуней и проч. Прайс-лист (опт). Адрес фабрики и фирменных магазинов."
http://www.agts-spb.ru/,2,20,"""АГТС"" - перевод автомобилей на газ",Санкт-Петербург,"Авто, Техническое обслуживание, Автомобили ГАЗ","Установка газобаллонного оборудования на автомобили, ремонт и диагностика газовых систем, продажа комплектующих. Онлайн-конфигуратор систем. Цены. Адреса заправочных станций. +7 (812) 715-99-05"
http://www.odicom.ru/,2,20,"""Odicom.ru"" - виртуальный офис в Москве",Россия,"Hi-Tech, Сети и связь, Прочее","Предоставление многоканального телефонного номера и почтового адреса в бизнес-центре города; создание сайтов. Тарифы. Договор-оферта. Контакты."
http://www.synergia.ua/,2,80,"""Synergia"" - поставщик кабельных систем",Киев,"Hi-Tech, Сети и связь, Устройство сетей","Дистрибьюция волоконно-оптических кабелей, LC-шнуров, кроссового оборудования, SOHO-платформ и др. Возможность скачать автоконфигуратор спецификаций оборудования. Правила работы с компанией. Контакты."
http://www.ptmo.ru/,1,30,"""ПТМ-Оптима"" - грузоподъёмное оборудование",Россия,"Бизнес, Производство и поставки, Оборудование, Складское оборудование","Продажа грузоподъемных средств и оборудования, такелажных приспособлений, геодезических приборов. Прайс-листы. Каталог продукции."
http://www.image-contact.ru/,3,80,"""Имидж контакт"" - консалтинговая группа",Москва,"Общество, Политика","О компании, специализирующейся в области психологического, политического и организационного консалтинга (принципы работы, структура, проекты и т.д.). Контактная информация. Виртуальная гостиная."
http://haircos.ru/,0,70,"""Hair cosmetics"" - интернет-магазин косметики",Россия,"Дом, Мода и красота, Косметика","Продажа профессиональной косметики для волос: средства для ухода, стайлинга, лечения волос и кожи головы, окрашивания и пр. Прайс-лист. Условия доставки и оплаты."
http://kanikuly.spb.ru/,2,50,"""Петербургские каникулы"" - турфирма",Санкт-Петербург,"Отдых, Туризм, Туры и экскурсии, Круизы","Прием туристов в Санкт-Петербурге; организация экскурсионных туров по России и в Европу, отдыха у моря, круизов. Программы туров, цены, онлайн-заказ."
http://www.nataliru.ru/,3,140,"Натали - официальный сайт певицы",,"Культура, Музыка, Поп-музыка","Новости творческой жизни. Дискография, музыкальный и видеоархив. Фотогалерея. Контакты для организаторов концертов."
http://www.stavadm.ru/,4,275,"""Официальный сайт города Ставрополя""",Ставрополь,Порталы,"Городские новости. Программы и проекты. Характеристика городского хозяйства. Паспорт города. Телефоны культурных, образовательных, здравоохранительных и пр. учреждений. Контакты администрации, думы."
http://molodec.ru/,2,100,"""Молодец"" - производство диетических хлебцев",Ростов-на-Дону,"Бизнес, Производство и поставки, Агропром, Хлебобулочные, кондитерские изделия","Каталог продукции (линия ""Хлебцы-молодцы"" цельнозерновые, бездрожжевые). Контакты. Советы диетолога. Постные рецепты."
http://www.sargis.ru/,1,30,"""Единый расчетно-кассовый центр г.Саратова""",Саратов,"Дом, Покупки, Бытовые услуги","О жилищно-коммунальных платежах: справочная информация, тарифы, льготы, законодательство. Публикации. Информация о предприятии."
