url,pr,tic,title,region,description
http://www.iho.ru,3,130,"Айхо нетворкс - хостинг-провайдер",Санкт-Петербург,"Все услуги хостинга, гибкая система скидок, сервера в Москве. Регистрация доменов, парковка, партнерская программа для веб-мастеров."
http://irinamcmahon.h12.ru,-1,0,"Ирина Макмахон - страничка  русской девушки",Мельбурн,"Описание жизни девушки, вышедшей замуж за австралийца и переехавшей в Австралию. Первые впечатления, перелет, фотографии мест, которые ее окружают. Заметки о местной жизни."
http://3xspeed-pc.ru/,-1,0,"Все для ускорения компьютера",Москва,"Сборник инструкции и уроков по оптимизации системы и модернизации компьютера, пошаговые уроки с картинками и скриншотами. Программы для мониторинга, настройки и оптимизации ПК."
http://www.bashstat.ru/,4,450,"Государственный комитет Республики Башкортостан по статистике",Башкортостан,"Статистические данные по Башкирии: уровень инфляции и прожиточный минимум, социальные индикаторы, сравнение заработной платы по отраслям и др."
http://shkb.da.ru,-1,0,"Школьное экспериментальное конструкторкое бюро, г.Екатеринбург",Екатеринбург,"Новости, история, контактная информация, прайс-лист."
http://www.maslenka.ru,2,0,"Маслёнка - информационный проект",Москва,"Информационно-поисковый проект по маслам, смазкам, техническим жидкостям и автохимии."
http://www.osko.ru,2,130,"Оско - продажа систем водоснабжения, фонтанов",Санкт-Петербург,"Фонтаны, водо- и воздухонагреватели, фильтры для очистки воды, отопительные котлы."
http://www.chr.ru/bd,1,50,"Поиск информации в бесплатных базах данных",Чебоксары,"Бесплатный поиск информации в онлайновых коммерческих базах данных по предприятиям и фирмам, товарам и услугам, законодательству и документам, адресам и телефонам, организациям и частным лицам."
http://blackquote.ru,1,30,"Blackquote - цитаты на черном фоне",Москва,"Сервис создания цитат и афоризмов, с возможностью просмотра других цитат и голосования по ним."
http://fialki-collection.narod.ru,0,0,"Моя любимая фиалка - о фиалках",Москва,"Частная коллекция узамбарских фиалок - сенполий, стандартные крупноцветковые сорта, пестролистные фиалки, спорты, ампельные фиалки, фото фиалок. Советы по уходу и выращиванию фиалок, лунный календарь для фиалок и глоксиний."
http://www.klax.tula.ru/~gustav,-1,0,"Барабанов Сергей",Москва,"Автобиография, фотографии, коллекция ссылок."
http://www.labrador.pskov.ru,0,0,"Kensol's Western ice & Winsome Tradition Every Year - страничка лабрадоров",Псков,"Предложения вязки, результаты выставок, родословные, продажа щенков, фотоальбом."
http://unicolor.ru,0,0,"Униколор - продажа лакокрасочных материалов",Екатеринбург,"Прайс-лист и каталог продукции. Лакокрасочные материалы фирмы Tikkurila. Консультации по выбору материала. Колеровка свыше 2000 цветов и оттенков."
http://www.otk-toys.ru,0,0,"Toys - продажа мягких игрушек",Саратов,"Мягкие игрушки - слоники, мишки, собачки, белочки. Продажа, поставки."
http://mihhail.narod.ru/petrolium/petrolium.html,-1,0,"Petrolium - программа для автолюбителей",Москва,"Бесплатная программа для автолюбителей для ведения статистики расхода топлива, экономичности, окупаемости автомобиля. Сделана в Excel. Комментарии."
http://www.intergid.ru/photos/,2,2500,"Интергид.ру - знакомства и поиск попутчика",Москва,"Поиск попутчиков и партнеров для совместных путешествий. Знакомства, общение. Анкеты участников с фотографиями."
http://www.photosight.ru,4,4300,"Фото. Сайт",Москва,"Виртуальная выставка работ профессиональных фотохудожников и любителей фотографии. Обсуждение, форум."
http://idei-for-biz.ru/,1,20,"Идеи для бизнеса - блог",Москва,"Тематический сборник идей для открытия своего бизнеса."
http://www.plasmamarket.ru/,0,0,"PlazmaMarket.Ru - интернет-магазин аудио- и видеотехники",Москва,"Каталог товаров: ЖК телевизоры, плазменные панели, проекторы, акустические системы и др. Условия оплаты и доставки."
http://orn09.hut.ru,2,10,"Телефонный справочник г. Оренбурга",Оренбург,"Адреса и телефоны частных лиц. Удобная поисковая система."
http://www.elhaus.ru,3,30,"Elhaus.ru - интернет-магазин бытовой техники и электроники","г. Санкт-Петербург, пр-т Коменданский, д. 9 к. 2","Каталог товаров: встраиваемая техника, крупная бытовая техника, кухонная техника, аудио- и видеоаппаратура, средства связи, компьютерная техника, товары для красоты и здоровья. Условия доставки и оплаты товаров. Адреса магазинов (пунктов выдачи) в Санкт-Петербурге."
http://www.jobr.ru,1,0,"Джобр - работа в Москве",Москва,"Банк вакансий и резюме для среднего класса."
http://iggor.narod.ru,0,0,"Горбачевский Игорь",Москва,"Резюме специалиста в области управления. Работа с филиалами. Аттестат Федеральной Комиссии по рынку ценных бумаг."
http://www.svetus.com,1,0,"Фото рецепты - кулинарный сборник",Санкт-Петербург,"Кулинарные рецепты приготовления различных блюд с фото: супы, салаты, десерты, пицца, соусы, коктейли, закуски."
http://www.maxmotorsport.ru,0,0,"Maх Motorsport - автоспорт в Приморье",Владивосток,"Новости автоспортивной жизни Приморья. Календарь соревнований. Результаты и обзоры гонок: авторалли, драгрейсинг, картинг, кольцо, трек, офф-роад."
http://www.allgaz.ru,2,400,"ГАЗ - все об автомобилях",Москва,"Статьи советы, поиск и устранение неисправностей, электросхемы, трансмиссия. Ремонт, регулировка, эксплуатация и техническое обслуживание автомобилей. Тюнинг, фотогалерея."
http://www.liveband.ru,3,0,"Live Band - афиша клубных концертов",Москва,"Анонсы живой клубной музыки всех жанров. Группы, клубы, города. О тех, кто выступает в клубах: ссылки на сайты, музыка, видео, блоги, фотографии."
http://www.vstrecha.narod.ru,-1,0,"Aдаптация в Канаде",Торонто,"Встречи в Канаде и помощь в адаптации для новых эмигрантов. Помощь в поиске жилья, работы."
http://www.kerry-terrier.narod.ru,-1,40,"Невский Астерион",Санкт-Петербург,"Все о породе керри блю терьер (выращивание, воспитание, дрессировка, уход) и о питомнике. Календарь выставок и фоторепортажи. Доска объявлений."
http://slovari.yandex.ru/dict/bse,5,1200,"Большая советская энциклопедия - Яндекс.Словари",Москва,"Полный текст Третьего издания ""Большой советской энциклопедии"", выпущенной издательством «Советская энциклопедия» в 1969-1978 годах в 30 томах."
http://iitam.omsk.net.ru/~eremeev/,3,0,"Еремеев Антон - исследователь",Омск,"Работы по генетическим алгоритмам и оптимизации, любительские фотографии природы. О христианстве и науке."
http://www.rtr-sport.ru,6,4600,РТР-Спорт,Москва,"сайт российского телевизионного канала. Новости, комментарии, интервью, фото-видео."
http://www.ps-s.ru,2,10,Промстройсертификация,Москва,"Сертификация систем менеджмента качества ISO на предприятиях и организациях строительной отрасли."
http://www.uefa.com/,7,3600,"UEFA - официальный сайт Европейской Футбольной Ассоциации",Цюрих,"Новости, европейские турниры, чемпионат Европы, Еврокубки, новости. Сведения о клубах и национальных командах. Фото, видео."
http://www.nordzone.ru/,0,0,"Nordzone - игровой сервер",Воркута,"Правила игр: Half-Life, Counter-Strike, WarCraft III, StarCraft:Brood War, Unreal Tournament, Quake III Arena."
http://www.only.ru,3,50,"Only - торговля оборудованием для саун, бытовой техникой",Москва,"Каталог оборудования с иллюстрациями и характеристиками. Цены. Возможность он-лайн заказа."
http://linux-doc.narod.ru/,-1,0,"Документация Linux",Санкт-Петербург,"Документация по ОС Linux на русском языке."
http://encycloped.ru,2,0,"Энциклопедии и справочники",Одесса,"Бесплатная электронная библиотека энциклопедий, справочников, пособий, руководств, учебников. Регулярные обновления."
http://russianslc.com/,2,0,"RussianSLC.com - виртуальный клуб русскоязычного Солт-Лейк-Сити",Юта,"Общение. Фотогалерея. Ссылки."
http://www.avgur.ru,0,350,"Авгур Эстейт - продажа недвижимости",Москва,"Операции с недвижимостью - квартиры в новостройках, элитное жилье, услуги на вторичном рынке. Инвестиции, строительство."
http://seo-stat.com/,0,0,"Seo-Stat - статьи",Москва,"Статьи о раскрутке и продвижении сайтов."
http://www.polarsport.ru/,2,90,"Polar - продажа мониторов сердечного ритма",Москва,"Каталог пульсометров. Описания функций приборов. Цены. Консультации в области кардиотренировок."
http://www.orendog.ru,0,180,"Собаки Оренбурга  - выставки собак, клубы, щенки",Оренбург,"Кинологические клубы, питомники собак. Выставки собак. Ветеринария. Информация о породах, зоомагазинах, ветклиниках. Статьи. Фото собак."
http://www.navigato.ru/,3,375,"Навигатор - еженедельная газета",Москва,"Бесплатная рекламно-информационная газета. Материалы номеров. Справочная информация."
http://kinovoice.blogspot.com/,-1,0,"Твое кино - обзоры",Москва,"Обзоры современных кинофильмов."
http://www.leiferkus.ru/,2,0,"Мы поём оперу! - детский вокальный конкурс Сергея Лейферкуса",Санкт-Петербург,"Условия участия. Информация о жюри. Фотоальбом."
http://www.weld.ru/,2,80,"Велд - продажа металлопроката и метизной продукции",Москва,"Прайс-лист и каталог продукции: металлопрокат, профнастил, метизы. Поставки от производителя, продажа ""с колес"", сборные вагоны со склада."
http://www.complexsystems.net/,3,0,"Школа Английского языка",Европа,"Программы, игры, учебные материалы, ответы на вопросы, обучение детей."
http://hanggliding.ru,3,190,"Hanggliding.ru - сайт дельтапланеристов",Москва,"Сведения о клубах сверхлегкой авиации в России и странах СНГ. Информация о дельтапланах, оборудовании, экипировке и фирмах-производителях. Обучение полетам, программы подготовки, книги и пособия."
http://www.der-rottweiler.com,1,0,"Der-Rottweiler.com - все о ротвейлере",Москва,"Теория происхождения и распространения породы. Особенности использования собаки человеком. Возможность добавления вашего ротвейлер-клуба или питомника, ветеринарной клиники или кабинета."
http://rosskat.ru,2,0,"Росскат - производство медной катанки",Нефтегорск,"Производство медной катанки и кабельно-проводниковой продукции, нефтепогружного кабеля. Каталог продукции. Прайс-листы для кабелей различных марок и медной катанки. Информационно-познавательный раздел"
http://tour-spb.ru,3,200,"Туры турфирм Петербурга - информационная система",Санкт-Петербург,"Каталог сайтов турфирм. Сводный перечень туров с их полными описаниями: автобусные туры, детский отдых, круизы, охота, рыбалка, шоп-туры и др."
http://mir-prezentaciy.narod.ru,1,10,"Мир презентаций - презентации уроков",Москва,"Бесплатные электронные презентации уроков в формате ppt - география, экономика, история, биология, английский язык и другие предметы."
http://artofnail.ru,1,0,"Перспектива - учебный центр",Омск,"Учебный центр по наращиванию ногтей с использованием технологий EzFlow, IBD."
http://Vlnikolaew.narod.ru,-1,0,"Николаев Владимир - писатель",Москва,"Авторские стихи и проза. Биография автора."
http://worldelectricguitar.ru,2,0,"WEG - все об электрогитаре",Астрахань,"Биографии известных гитаристов. История электрогитары. Статьи и медиаматериалы."
http://www.oilforum.ru,4,200,"Oilforum.ru - нефтегазовый форум",Москва,"Форум для общения представителей нефтегазового комплекса и смежных отраслей промышленности. Темы: техника и технологии добычи, транспортировки, хранения и переработки нефти и газа, отраслевая пресса, нефтегазовые мероприятия, работа в нефтегазовом комплексе, коммерческие объявления и др."
http://www.otkrytie.ru,3,325,"Открытие - туроператор приключенческого туризма",Москва,"Новогодние туры в Индию, Иорданию, Китай."
http://redrocker.ru/,1,20,"Van Halen - фан-сайт рок-группы",Москва,"История группы, биографии музыкантов. Дискография. Фотографии. Тексты песен, музыка в формате mp3. Видео."
http://mosvmz.narod.ru,-1,40,"Владыкинский механический завод, ОАО",Москва,"Производство разрядников, электровакуумных приборов."
http://www.svblog.ru,2,20,"Сергей Новиков - иронические заметки психолога",Казань,"Заметки психолога об особенностях преподавания в высшем образовании. Учебные материалы по инженерной психологии и педагогике высшей школы для студентов и преподавателей."
http://mykeira.com,2,10,"Найтли Кейра - актриса",Днепропетровск,"Биография, фильмография, интервью, статьи, фотогалерея."
http://www.ntvplus.ru,6,3400,НТВ-Плюс,Москва,"Информация о подключении, каналах. Телепрограмма."
http://www.yasbox.narod.ru,0,0,"Юшков Александр Сергеевич - домашняя страничка",Москва,"История жизни, фотографии и много другой полезной информации."
http://www.prosto-prostata.com.ua,2,0,"Просто простата - о заболевании",Киев,"О значении предстательной железы в жизни мужчины. Рассмотрены различные заболевания простаты и связанные с ними нарушения - бесплодие, эректильная дисфункция, расстройство эякуляции."
http://www.mirmouse.narod.ru/day/,-1,20,"Тексты поздравлений ко дню рождения от Мышки",Орск,"Тексты поздравлений на день рождения. Открытки и календари, адаптированные для печати на принтере."
http://www.forcesite.ru,0,0,"Форссайт - хостинг-провайдер",Москва,"Профессиональный хостинг: FTP, Perl, SSH, cgi-bin, MySQL и т.д. Веб-программирование. Креативный дизайн. Регистрация доменов."
http://usaautoparts.8m.com,3,0,"USA Auto Parts - автомобили и автозапчасти",Америка,"Официальный дилер Ford, GMC, Chrysler. Продукция, прайс-лист."
http://deutsch.h11.ru/,0,0,"Deutsch - о немецком языке",Москва,"Курс немецкого языка для начинающих. Рассказы и анекдоты на немецком языке. Немецкие идиомы."
http://www.rootsweb.com/roots-l/roots-l.html,6,190,"Список рассылки ROOTS-L",Техас,"Ресурсы по генеалогии. Список фамилий (свыше 700.000), библиотека текстовых документов, архив переписки с 1985 года. Поиск в списке фамилий и текстовых документах."
http://mir74.ru,3,120,"Мир 74 - информационное агентство",Челябинск,"Новости города Челябинска и Челябинской области. Погода. Галерея."
http://www.arvesmarket.ru,1,130,"Арвес Маркет - торговля велосипедами, аксессуарами",Москва,"Иллюстрированный каталог и описание товаров. Прайс-лист. Новости компании."
http://www.ecos.ru,3,2400,"ЭКОС - системы очистки сточных вод, очистные сооружения",Сочи,"Проектирование, строительство, реконструкция очистных сооружений. Изготовление, поставка, монтаж, наладка, сервис, эксплуатация блочно-модульных станций: станция ""ЕРШ"" для очистки стоков, станции ""ВОС"" для водоподготовки, станции ""ЛОС"" для очистки ливневых стоков. КНС и емкости из стеклопластика."
http://www.litcafe.narod.ru/,3,10,"Литературное кафе",,"Публикация произведения начинающих и известных авторов, все стили и направления современной литературы. Публицистика, дискуссии, критика. Помощь в издании и поиске спонсоров."
http://ivs.da.ru,-1,0,ИВС,,"Автоматизированые кассовые системы на базе ККМ ""Аккорд-КФ"". Генеральный поставщик."
http://www.pricep.ru,1,170,"Спецавтотехника - прицепы и полуприцепы",Минск,"Производство бортовых и самосвальных прицепов и полуприцепов для грузовой автотехники МАЗ, ЗИЛ, КамАЗ, КрАЗ."
http://www.sibiryak.ru,3,20,"Сибиряк - управляющая компания",Новосибирск,"Управление активами, вексельный отдел, корпоративные финансы, исследования и анализ, юридические услуги."
http://arh-gavriil.bsu.edu.ru/biblio/books/bulgak3e/Main.htm,0,100,"Жизнь за гробом - сочинение протоиерея Сергия Булгакова",Белгород,"Жизнь за гробом, жизнь будущего века, облечена тайной, и все попытки нашего разума понять смерть и проникнуть в ее царство остаются тщетными."
http://www.inop.ru,5,750,"Институт общественного проектирования",Москва,"Информация о деятельности института, новости. Исследование стратификации российского общества. Проекты законов."
http://www.specta.ru/,3,375,"Спекта - комплексные отраслевые решения",Москва,"Комплексные решения в области упаковки, автоматической идентификации, маркировки и взвешивания продукции для предприятий черной, цветной металлургии и деревообрабатывающих комбинатов."
